Monthly Income (INR),Cost of Living Expenditure (INR),Other Important Investments (INR),Consumerist Expenditure (INR),Crisis Shock Expenditure (INR),Total Monthly Expenditure (INR),Debt Status,Financial State Category,Current Monthly Income Enough for Next Few Months,Current Expenditure Worth It,Suggested Budget - Cost of Living,Suggested Budget - Other Important Investments,Suggested Budget - Consumerist Expenditure,Suggested Budget - Crisis Shocks
179795,110564,19783,74629,50281,255257,In Debt,Deficit Living,No,No,0.48,0.11,0.12,0.11
338813,105437,23670,26487,107417,263011,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.31,0.12,0.08,0.12
191369,107515,33273,57641,68842,267271,In Debt,Deficit Living,No,No,0.48,0.15,0.08,0.11
394914,172708,28310,44106,149790,394914,In Debt,Zero-Balance Living,No,No,0.43,0.12,0.11,0.12
284235,136614,42415,57316,67216,303561,In Debt,Deficit Living,No,No,0.48,0.15,0.08,0.11
27601,8359,1704,1925,4464,16452,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.3,0.07,0.08,0.07
263973,157785,34666,45982,25540,263973,Not in Debt,Zero-Balance Living,No,No,0.48,0.13,0.11,0.1
384242,176472,33585,80247,103730,394034,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
117280,51256,13512,23022,29490,117280,Not in Debt,Zero-Balance Living,No,No,0.44,0.12,0.15,0.1
151942,73609,16638,40569,21126,151942,Not in Debt,Zero-Balance Living,No,No,0.48,0.11,0.12,0.11
184795,56300,16762,20865,10629,104556,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.3,0.1,0.11,0.06
231334,184372,28376,88784,6523,308055,In Debt,Deficit Living,No,No,0.48,0.12,0.17,0.05
26942,13685,5056,4159,4042,26942,Not in Debt,Zero-Balance Living,No,Yes,0.51,0.09,0.12,0.07
213958,102114,17834,52429,25602,197979,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.48,0.1,0.08,0.09
250398,121554,21037,74516,33291,250398,Not in Debt,Zero-Balance Living,No,No,0.48,0.1,0.13,0.11
273685,127403,34511,59254,52517,273685,In Debt,Zero-Balance Living,No,No,0.47,0.13,0.11,0.11
464015,122744,27405,40044,44535,234728,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.26,0.12,0.09,0.1
113181,50067,14384,22160,3040,89651,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.44,0.13,0.13,0.05
390440,210568,20636,88670,70566,390440,In Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
119991,75452,14503,39866,9651,139472,In Debt,Deficit Living,No,No,0.53,0.12,0.12,0.08
199706,98164,14911,50002,36629,199706,Not in Debt,Zero-Balance Living,No,No,0.48,0.1,0.13,0.11
259719,108576,38237,58938,7953,213704,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.42,0.15,0.13,0.05
172517,40672,14347,19542,2009,76570,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.24,0.1,0.11,0.05
259995,116084,15530,44127,57382,233123,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.45,0.1,0.09,0.11
349592,119219,27697,45047,95431,287394,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.34,0.12,0.13,0.12
354532,107120,16435,54676,60670,238901,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.3,0.12,0.15,0.12
470273,269629,52506,49499,88700,460334,Not in Debt,Low-Rate Saver (<25% in savings),No,Yes,0.43,0.12,0.08,0.12
172226,128497,30853,61463,6881,227694,In Debt,Deficit Living,No,No,0.48,0.15,0.14,0.05
456256,173459,21534,57370,49234,301597,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.38,0.12,0.11,0.11
270192,110088,34225,61441,11102,216856,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.41,0.13,0.16,0.05
123620,79987,21563,40387,26169,168106,In Debt,Deficit Living,No,No,0.53,0.14,0.08,0.1
372064,156153,16057,87261,37131,296602,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.42,0.12,0.11,0.1
296165,110171,35917,67446,12410,225944,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.37,0.12,0.17,0.05
361387,169027,19085,55030,88989,332131,In Debt,Low-Rate Saver (<25% in savings),No,No,0.43,0.12,0.08,0.12
231549,161149,47837,52401,7819,269206,In Debt,Deficit Living,No,No,0.48,0.15,0.14,0.05
417539,167409,72675,48741,81237,370062,Not in Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.4,0.17,0.08,0.1
414108,189369,64772,65314,94653,414108,In Debt,Zero-Balance Living,No,No,0.43,0.16,0.09,0.12
96416,32755,6845,13026,6076,58702,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.34,0.09,0.14,0.06
244314,144911,36452,35745,27206,244314,Not in Debt,Zero-Balance Living,No,Yes,0.48,0.15,0.08,0.11
480841,291831,89227,144592,93324,618974,In Debt,Deficit Living,No,No,0.43,0.17,0.08,0.12
307003,113882,41996,30000,28812,214690,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.37,0.14,0.1,0.09
377186,163685,21029,82405,50272,317391,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.12,0.08,0.12
92717,17123,3485,11117,10094,41819,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.18,0.09,0.12,0.1
363260,155249,34489,58970,56863,305571,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.12,0.08,0.12
449922,155575,49314,88450,57823,351162,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.35,0.12,0.16,0.12
454699,104550,27864,40644,39294,212352,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.23,0.12,0.09,0.09
33302,17017,4484,4738,3001,29240,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.51,0.11,0.08,0.05
246554,73153,9708,24210,44409,151480,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.3,0.1,0.1,0.11
209196,109833,17645,61020,20698,209196,In Debt,Zero-Balance Living,No,No,0.48,0.1,0.14,0.1
135188,47598,12143,21199,3313,84253,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.35,0.09,0.15,0.05
315128,158319,16516,33865,106428,315128,In Debt,Zero-Balance Living,No,No,0.43,0.12,0.11,0.12
331820,94465,26425,48108,0,165144,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.28,0.12,0.14,0.05
205470,59807,23903,18644,37363,139717,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.29,0.12,0.09,0.11
197570,63746,25666,40656,24538,154606,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.32,0.13,0.17,0.11
358152,216332,41937,86097,40028,384394,In Debt,Deficit Living,No,No,0.43,0.12,0.14,0.11
24396,11169,2741,4779,1288,19977,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.46,0.09,0.12,0.05
368322,124962,27858,46379,26893,226092,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.34,0.12,0.13,0.07
